main_id,mapped_id
QBC-092,SYN-001
QBC-256,SYN-002
QBC-107,SYN-003
QBC-171,SYN-004
QPRC-110,SYN-005
QBC-240,SYN-006
QPRC-019,SYN-007
QBC-183,SYN-008
QBC-086,SYN-009
QPRC-039,SYN-010
QBC-232,SYN-011
QPRC-104,SYN-012
QBC-119,SYN-013
QBC-269,SYN-014
QBC-247,SYN-015
QBC-031,SYN-016
QBC-268,SYN-017
QBC-173,SYN-018
QBC-210,SYN-019
QPRC-108,SYN-020
QPRC-115,SYN-021
QIGR-005,SYN-022
QBC-264,SYN-023
QBC-286,SYN-024
QPRC-012,SYN-025
QPRC-106,SYN-026
QBC-205,SYN-027
QBC-046,SYN-028
QBC-018,SYN-029
QBC-170,SYN-030
QBC-174,SYN-031
QBC-035,SYN-032
QBC-064,SYN-033
QBC-179,SYN-034
QBC-280,SYN-035
QBC-166,SYN-036
QBC-267,SYN-037
QBC-015,SYN-038
QPRC-101,SYN-039
QBC-242,SYN-040
QBC-241,SYN-041
QBC-038,SYN-042
QBC-008,SYN-043
QBC-229,SYN-044
QPRC-047,SYN-045
QBC-080,SYN-046
QPRC-008,SYN-047
QBC-260,SYN-048
QBC-298,SYN-049
QBC-095,SYN-050
QPRC-064,SYN-051
QBC-003,SYN-052
QBC-294,SYN-053
QBC-270,SYN-054
QBC-058,SYN-055
QBC-207,SYN-056
QPRC-005,SYN-057
QBC-243,SYN-058
QBC-049,SYN-059
QIGR-026,SYN-060
QBC-239,SYN-061
QBC-200,SYN-062
QBC-051,SYN-063
QBC-178,SYN-064
QBC-017,SYN-065
QBC-139,SYN-066
QBC-062,SYN-067
QPRC-059,SYN-068
QBC-252,SYN-069
QPRC-025,SYN-070
QBC-078,SYN-071
QBC-262,SYN-072
QBC-204,SYN-073
QPRC-010,SYN-074
QPRC-021,SYN-075
QPRC-096,SYN-076
QPRC-116,SYN-077
QBC-251,SYN-078
QBC-213,SYN-079
QBC-303,SYN-080
QBC-002,SYN-081
QBC-263,SYN-082
QPRC-060,SYN-083
QBC-023,SYN-084
QBC-255,SYN-085
QPRC-102,SYN-086
QPRC-003,SYN-087
QPRC-006,SYN-088
QPRC-041,SYN-089
QBC-203,SYN-090
QBC-223,SYN-091
QBC-246,SYN-092
QBC-284,SYN-093
QBC-289,SYN-094
QPRC-048,SYN-095
QBC-272,SYN-096
QBC-167,SYN-097
QBC-105,SYN-098
QBC-141,SYN-099
QBC-261,SYN-100
QBC-299,SYN-101
QBC-192,SYN-102
QBC-001,SYN-103
QBC-287,SYN-104
QBC-036,SYN-105
QBC-254,SYN-106
QBC-053,SYN-107
QPRC-009,SYN-108
QBC-257,SYN-109
QBC-212,SYN-110
QBC-165,SYN-111
QPRC-007,SYN-112
QBC-054_r1,SYN-113
QBC-258,SYN-114
QPRC-120,SYN-115
QBC-222,SYN-116
QBC-233,SYN-117
QBC-043,SYN-118
QBC-024,SYN-119
QPRC-111,SYN-120
QBC-020,SYN-121
QBC-244,SYN-122
QBC-206,SYN-123
QBC-216,SYN-124
QPRC-013,SYN-125
QBC-014,SYN-126
QBC-285,SYN-127
QIGR-009,SYN-128
QBC-126,SYN-129
QBC-016,SYN-130
QPRC-004,SYN-131
QBC-077,SYN-132
QBC-228,SYN-133
QBC-201,SYN-134
QBC-276,SYN-135
QPRC-042,SYN-136
QBC-159,SYN-137
QBC-044,SYN-138
QPRC-105,SYN-139
QBC-296,SYN-140
QBC-209,SYN-141
QBC-250,SYN-142
QBC-235,SYN-143
QBC-265,SYN-144
QBC-113,SYN-145
QBC-019,SYN-146
QBC-277,SYN-147
QPRC-095,SYN-148
QBC-068,SYN-149
QIGR-042,SYN-150
QBC-288,SYN-151
QBC-211,SYN-152
QBC-104,SYN-153
QPRC-098,SYN-154
QBC-278,SYN-155
QBC-197,SYN-156
