"metabolite","skewness","absolute_skewness"
"N_acetylmethionine",-0.42610869569652,0.42610869569652
"Mannose",0.417711201998607,0.417711201998607
"Citrulline",-0.390669426709756,0.390669426709756
"Nicotinamide",0.372330156681627,0.372330156681627
"Theobromine",0.37221706230847,0.37221706230847
"Gamma_glutamylalanine",-0.352322113613012,0.352322113613012
"Fibrinogen_cleavage_peptide",-0.34899744304432,0.34899744304432
"Glutamine",0.346405297067558,0.346405297067558
"Aminoisobutyrate_3",-0.341198331118271,0.341198331118271
"Sphingosine",-0.316816092685189,0.316816092685189
"Sphingomyelin_d18_2_24_1",0.31485892904129,0.31485892904129
"Pyruvate",-0.307187172425724,0.307187172425724
"Anhydroglucitol_1_5",0.302422366466097,0.302422366466097
"Asparagine",-0.285250073658809,0.285250073658809
"Sphingomyelin_d18_1_24_1",0.280487329520189,0.280487329520189
"Hydroxydecanoate_3",0.275105405520944,0.275105405520944
"Palmitoyl_dihydrosphingomyelin",0.274869654475548,0.274869654475548
"Citrate",0.273249017341561,0.273249017341561
"Stearoyl_GPI",0.272017811344596,0.272017811344596
"Inosine",0.267360402658919,0.267360402658919
"Fructose",-0.265086258091227,0.265086258091227
"Enyl_palmitoyl_oleoyl_GPC",-0.260133930632221,0.260133930632221
"Lactate",0.255309229564782,0.255309229564782
"Ornithine",0.255015933665263,0.255015933665263
"Sphingomyelin_d18_2_14_0",-0.254731400264522,0.254731400264522
"Sorbitol",-0.250064933551006,0.250064933551006
"Cysteine_glutathione_disulfide",-0.24597876629717,0.24597876629717
"Oleate",0.245045508509095,0.245045508509095
"Tyrosine",-0.242425722403868,0.242425722403868
"Cholesterol",0.231741802036419,0.231741802036419
"Lactosyl_N_palmitoyl_sphingosine",-0.231577271221482,0.231577271221482
"Glycine",0.227056402845084,0.227056402845084
"Pyridoxal",-0.226585111559257,0.226585111559257
"Palmitoyl_sphingomyelin",-0.223750182670115,0.223750182670115
"Salicylate",-0.22117875799846,0.22117875799846
"Palmitoylcholine",-0.207885544978882,0.207885544978882
"Dihydroorotate",0.203849455362273,0.203849455362273
"Arginine",0.20343740426354,0.20343740426354
"Xanthosine",0.198864332994672,0.198864332994672
"Cholate",-0.195617474602205,0.195617474602205
"Cys_gly_oxidized",-0.192513881640263,0.192513881640263
"Acetylcarnitine",0.191110992430447,0.191110992430447
"Hydroxyoctanoate_3",-0.189815461989774,0.189815461989774
"Enyl_palmitoyl_linoleoyl_GPC",0.187945530327372,0.187945530327372
"Alpha_ketoglutarate",-0.186710364536515,0.186710364536515
"Hypoxanthine",0.184085764017104,0.184085764017104
"Paraxanthine",-0.182780822443911,0.182780822443911
"Linoleate",0.18271565407452,0.18271565407452
"Enyl_palmitoyl_GPE",0.170579227517283,0.170579227517283
"Enyl_palmitoyl_palmitoyl_GPC",-0.168814841781975,0.168814841781975
"Gluconate",0.165711082029937,0.165711082029937
"Glycocholate",0.155937561129475,0.155937561129475
"Caffeine",0.154729213531579,0.154729213531579
"Succinate",-0.154630953368676,0.154630953368676
"GPC",0.153116063295326,0.153116063295326
"Arabonate_xylonate",0.152810809145722,0.152810809145722
"Deoxyuridine_2",0.151126266584005,0.151126266584005
"Erythronate",0.150449797967535,0.150449797967535
"Enyl_palmitoyl_GPC",-0.146697634262785,0.146697634262785
"Bromotryptophan_5",-0.1456571498355,0.1456571498355
"Sphingomyelin_d18_1_20_1",-0.144122726589952,0.144122726589952
"Leucine",0.143125835739161,0.143125835739161
"Cysteinylglycine",0.136955985671777,0.136955985671777
"Arachidonoylcholine",0.134637460567176,0.134637460567176
"Choline",-0.134583639432172,0.134583639432172
"Enyl_palmitoyl_palmitoleoyl_GPC",0.134504405958579,0.134504405958579
"Pyroglutamine",0.134269602387955,0.134269602387955
"Oxalate",-0.127260610604592,0.127260610604592
"Taurine",0.126987460253698,0.126987460253698
"Docosahexaenoate",0.122808212768954,0.122808212768954
"Histidine",-0.122147439615769,0.122147439615769
"Leucylalanine",0.119485434980301,0.119485434980301
"Isoleucine",0.118813546830774,0.118813546830774
"Sphingomyelin_d18_2_16_0",-0.115485772354811,0.115485772354811
"Linoleoyl_GPC",0.112757878649083,0.112757878649083
"Lysine",-0.111573092157727,0.111573092157727
"Palmitoyl_linoleoyl_glycerol",-0.107372685713354,0.107372685713354
"Uridine",-0.107198487707384,0.107198487707384
"Carnitine",-0.107099140473264,0.107099140473264
"Maltose",-0.106667435372309,0.106667435372309
"Deoxycholate",-0.105896928251001,0.105896928251001
"Riboflavin",-0.105147353122481,0.105147353122481
"Palmitoleate",0.10344954822135,0.10344954822135
"Enyl_oleoyl_GPE",-0.103380507074172,0.103380507074172
"Proline",-0.102675718247017,0.102675718247017
"Oleoylcholine",0.101728391420787,0.101728391420787
"Propionylcarnitine",-0.101479749547247,0.101479749547247
"Sphingomyelin_d18_1_22_1",0.100319869233675,0.100319869233675
"Homocysteine",0.0963508056784333,0.0963508056784333
"Pantothenate",0.0919606122087372,0.0919606122087372
"Ascorbate",-0.0890440422888627,0.0890440422888627
"Valine",-0.0875527662467851,0.0875527662467851
"Hydroxybutyrate_hydroxyisobutyrate_2",-0.0869317912670431,0.0869317912670431
"Eicosapentaenoate",-0.084123170329717,0.084123170329717
"Alpha_tocopherol",-0.0841067173082363,0.0841067173082363
"Palmitoyl_arachidonoyl_GPE",-0.076667913664335,0.076667913664335
"Phenylalanine",0.0741396951421479,0.0741396951421479
"Palmitoyl_oleoyl_GPE",0.0732218699401624,0.0732218699401624
"Threonine",0.0721438679791858,0.0721438679791858
"Hydroxymyristate_3",-0.0712521167754903,0.0712521167754903
"Methylguanine_7",0.066653887057006,0.066653887057006
"Sphingomyelin_d18_2_23_0",0.0582695915377746,0.0582695915377746
"Pipecolate",-0.0533298418974556,0.0533298418974556
"Docosahexaenoylcholine",0.0513248123201951,0.0513248123201951
"N_acetyltaurine",-0.0487785943005945,0.0487785943005945
"Thiamine",-0.0471707069431632,0.0471707069431632
"Ribonate",0.0469576639304905,0.0469576639304905
"Gamma_glutamylglutamate",0.0468510561905287,0.0468510561905287
"Distearoyl_GPC",0.0456061627251631,0.0456061627251631
"S_adenosylhomocysteine",-0.045552467075766,0.045552467075766
"Xylitol",-0.0444334640256937,0.0444334640256937
"Guanosine",0.0436093090661139,0.0436093090661139
"Cystine",0.0423344207535313,0.0423344207535313
"Glutamate",-0.0388962997918337,0.0388962997918337
"Hydroxybutyrate_3",0.0378922363346258,0.0378922363346258
"Uric_acid",-0.0358156976693152,0.0358156976693152
"Myristate",0.0357517617480835,0.0357517617480835
"Aspartate",0.0342911535050426,0.0342911535050426
"Hippurate",-0.0321868951398909,0.0321868951398909
"Malate",0.0315509873186794,0.0315509873186794
