"Metabolite","Beta","SE","P_value","Bonferroni_significant"
"Anhydroglucitol_1_5",-1.53357424522213,0.139813975647048,6.34479713490866e-21,"Y"
"Mannose",1.14464327733502,0.134310888668602,1.54422856375589e-14,"Y"
"Citrulline",-1.11605959397251,0.15030290737187,7.84553750835229e-12,"Y"
"Enyl_palmitoyl_GPC",-0.978211086267932,0.14540969455896,3.41272595199302e-10,"Y"
"Arachidonoylcholine",-0.98405568403359,0.153780035037565,1.88670597390434e-09,"Y"
"Palmitoylcholine",-1.04211512649481,0.163827957379085,2.29413422128018e-09,"Y"
"Gluconate",0.88406185409343,0.1554019296652,6.4980548382478e-08,"Y"
"Glucose",0.786217643891358,0.141286536264529,1.17684528987816e-07,"Y"
"Oleoylcholine",-0.779193868591184,0.142035442621783,1.70848886212255e-07,"Y"
"S_adenosylhomocysteine",0.770689847523198,0.151321476098044,1.04304378555746e-06,"Y"
"Arabonate_xylonate",0.810806293846905,0.160768669514924,1.30365629214299e-06,"Y"
"Bromotryptophan_5",-0.769284231120777,0.153288709541084,1.4560445417412e-06,"Y"
"Leucylalanine",-0.740858322857869,0.148370930027523,1.62905462343586e-06,"Y"
"Hydroxydecanoate_3",0.819321085352912,0.166094016361578,2.1279460751688e-06,"Y"
"Sphingomyelin_d18_1_24_1",-0.731971235639527,0.152352621662442,3.72846886456592e-06,"Y"
"Ribonate",0.702407859823661,0.148112267790904,4.87190622136882e-06,"Y"
"Dihomo_linolenoyl_choline",-0.694762731178782,0.14906044542382,6.8969733787516e-06,"Y"
"Hydroxyoctanoate_3",0.732075237738552,0.157200851761413,7.01511088054558e-06,"Y"
"Enyl_palmitoyl_GPE",-0.773657859715403,0.166145251518261,7.02782019844689e-06,"Y"
"Enyl_oleoyl_GPE",-0.686279210411277,0.150165949387286,1.01128317855134e-05,"Y"
"Enyl_palmitoyl_palmitoleoyl_GPC",-0.673399174658865,0.151115833517886,1.62298611956951e-05,"Y"
"Methylguanine_7",-0.659565112542411,0.148932035175639,1.81736781464573e-05,"Y"
"Stearoyl_GPI",-0.668143942372164,0.15376404193914,2.55186617071467e-05,"Y"
"N_acetylmethionine",-0.683305823013464,0.159130161517848,3.13694057056972e-05,"Y"
"Lactosyl_N_palmitoyl_sphingosine",-0.646392112180622,0.154548278959023,4.88721177061737e-05,"Y"
"Fibrinogen_cleavage_peptide",-0.706057104746066,0.170541762078813,5.77143201556569e-05,"Y"
"Inosine",-0.625945636908117,0.153464305892261,7.32587582297249e-05,"Y"
