"Metabolite","Diabetes","Mean","SD","N","SE"
"Acetylcarnitine","Non-diabetic",0.131001213051724,0.980975041971994,58,0.128808333485759
"Acetylcarnitine","Diabetic",-0.0751367186836735,0.967615562079781,98,0.0977439322183209
"Adenosine","Non-diabetic",-0.00289027753448278,1.08813689408839,58,0.142879374025804
"Adenosine","Diabetic",0.161928167367347,0.9179152485177,98,0.092723442397343
"Alanine","Non-diabetic",0.154342720810345,0.89603815610163,58,0.117655573983908
"Alanine","Diabetic",0.0973913041122449,0.917224489333599,98,0.0926536651825937
"Allantoin","Non-diabetic",-0.0614160482413793,0.970079006630072,58,0.127377613952698
"Allantoin","Diabetic",-0.155783943959184,0.855177444768309,98,0.0863859671876366
"Alpha_ketoglutarate","Non-diabetic",-0.0442406282068966,0.940293238159389,58,0.123466550944827
"Alpha_ketoglutarate","Diabetic",0.0575324565102041,1.13207676567586,98,0.114357022547591
"Alpha_tocopherol","Non-diabetic",0.066970057137931,1.08230133899104,58,0.142113128102214
"Alpha_tocopherol","Diabetic",-0.0968806718367347,1.02741772021634,98,0.103784862439457
"Aminoisobutyrate_3","Non-diabetic",0.16172155637931,1.0404105163763,58,0.136612593615114
"Aminoisobutyrate_3","Diabetic",-0.186051316908163,1.06765716679347,98,0.107849660374583
"Anhydroglucitol_1_5","Non-diabetic",0.825666707793103,0.929754867596947,58,0.122082795098119
"Anhydroglucitol_1_5","Diabetic",-0.697708027918367,0.776817929316736,98,0.078470460795308
"Arabonate_xylonate","Non-diabetic",-0.579753938224138,0.939208386018487,58,0.123324102880025
"Arabonate_xylonate","Diabetic",0.188466759244898,1.02907086283959,98,0.103951855062195
"Arachidonate","Non-diabetic",0.0488251666206897,1.05254653550079,58,0.138206130995467
"Arachidonate","Diabetic",0.0376732860816327,0.929422012627738,98,0.0938858011018746
"Arachidonoylcholine","Non-diabetic",0.648681953327586,0.937742558638815,58,0.123131630315612
"Arachidonoylcholine","Diabetic",-0.323397598204082,0.906554117759482,98,0.0915757948829025
"Arginine","Non-diabetic",-0.123805062206897,1.10484461670141,58,0.145073205483329
