"Metabolite","Beta","SE","P_value","Bonferroni_significant","NegLog10P","Significance"
"Anhydroglucitol_1_5",-1.53357424522213,0.139813975647048,6.34479713490866e-21,"Y",20.1975822592428,"Bonferroni significant"
"Mannose",1.14464327733502,0.134310888668602,1.54422856375589e-14,"Y",13.8112884186172,"Bonferroni significant"
"Citrulline",-1.11605959397251,0.15030290737187,7.84553750835229e-12,"Y",11.1053772969573,"Bonferroni significant"
"Enyl_palmitoyl_GPC",-0.978211086267932,0.14540969455896,3.41272595199302e-10,"Y",9.46689858494601,"Bonferroni significant"
"Arachidonoylcholine",-0.98405568403359,0.153780035037565,1.88670597390434e-09,"Y",8.72429577543673,"Bonferroni significant"
"Palmitoylcholine",-1.04211512649481,0.163827957379085,2.29413422128018e-09,"Y",8.63938117673288,"Bonferroni significant"
"Gluconate",0.88406185409343,0.1554019296652,6.4980548382478e-08,"Y",7.18721662788671,"Bonferroni significant"
"Glucose",0.786217643891358,0.141286536264529,1.17684528987816e-07,"Y",6.92928062650954,"Bonferroni significant"
"Oleoylcholine",-0.779193868591184,0.142035442621783,1.70848886212255e-07,"Y",6.76738784808236,"Bonferroni significant"
"S_adenosylhomocysteine",0.770689847523198,0.151321476098044,1.04304378555746e-06,"Y",5.98169746009997,"Bonferroni significant"
"Arabonate_xylonate",0.810806293846905,0.160768669514924,1.30365629214299e-06,"Y",5.88483689487823,"Bonferroni significant"
"Bromotryptophan_5",-0.769284231120777,0.153288709541084,1.4560445417412e-06,"Y",5.83682533935228,"Bonferroni significant"
"Leucylalanine",-0.740858322857869,0.148370930027523,1.62905462343586e-06,"Y",5.7880643532243,"Bonferroni significant"
"Hydroxydecanoate_3",0.819321085352912,0.166094016361578,2.1279460751688e-06,"Y",5.6720393818062,"Bonferroni significant"
"Sphingomyelin_d18_1_24_1",-0.731971235639527,0.152352621662442,3.72846886456592e-06,"Y",5.42846947923383,"Bonferroni significant"
"Ribonate",0.702407859823661,0.148112267790904,4.87190622136882e-06,"Y",5.31230107996755,"Bonferroni significant"
"Dihomo_linolenoyl_choline",-0.694762731178782,0.14906044542382,6.8969733787516e-06,"Y",5.16134145031722,"Bonferroni significant"
"Hydroxyoctanoate_3",0.732075237738552,0.157200851761413,7.01511088054558e-06,"Y",5.15396546014118,"Bonferroni significant"
"Enyl_palmitoyl_GPE",-0.773657859715403,0.166145251518261,7.02782019844689e-06,"Y",5.15317935813594,"Bonferroni significant"
"Enyl_oleoyl_GPE",-0.686279210411277,0.150165949387286,1.01128317855134e-05,"Y",4.99512721665246,"Bonferroni significant"
"Enyl_palmitoyl_palmitoleoyl_GPC",-0.673399174658865,0.151115833517886,1.62298611956951e-05,"Y",4.78968519441908,"Bonferroni significant"
"Methylguanine_7",-0.659565112542411,0.148932035175639,1.81736781464573e-05,"Y",4.74055716751577,"Bonferroni significant"
"Stearoyl_GPI",-0.668143942372164,0.15376404193914,2.55186617071467e-05,"Y",4.59314210536003,"Bonferroni significant"
"N_acetylmethionine",-0.683305823013464,0.159130161517848,3.13694057056972e-05,"Y",4.5034937089459,"Bonferroni significant"
"Lactosyl_N_palmitoyl_sphingosine",-0.646392112180622,0.154548278959023,4.88721177061737e-05,"Y",4.31093884189716,"Bonferroni significant"
"Fibrinogen_cleavage_peptide",-0.706057104746066,0.170541762078813,5.77143201556569e-05,"Y",4.2387164157357,"Bonferroni significant"
"Inosine",-0.625945636908117,0.153464305892261,7.32587582297249e-05,"Y",4.13514044710403,"Bonferroni significant"
"Glutamate",0.627027034627877,0.156201347011434,9.39109726694456e-05,"Y",4.02728366128676,"Bonferroni significant"
"Hydroxybutyrate_3",0.672124313640208,0.16930204883085,0.00011116110739404,"Y",3.9540471354038,"Bonferroni significant"
"Malate",0.641267847523462,0.162071366993737,0.000116897166663103,"Y",3.93219601507847,"Bonferroni significant"
"Guanidinoacetate",-0.657387679134364,0.166790305676322,0.000123859145733035,"Y",3.90707191968176,"Bonferroni significant"
"Sphingomyelin_d18_1_22_1",-0.563538308180623,0.14607131639788,0.000169327191397207,"Y",3.77127329513659,"Bonferroni significant"
"Sphingomyelin_d18_1_20_1",-0.610939147089865,0.159301537230349,0.000184315791792058,"Y",3.73443745374273,"Bonferroni significant"
"Docosahexaenoylcholine",-0.62436236924429,0.167695926459926,0.000277765585214342,"Y",3.55632156377253,"Bonferroni significant"
"N_acetyltaurine",-0.59119464732554,0.161430008004,0.000345985305659907,"Y",3.4609423457342,"Bonferroni significant"
