"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"query_1",TRUE,2.97656725448514e-26,5948,1299,554,0.426481909160893,0.0931405514458642,"GO:0048856","GO:BP","anatomical structure development",20972,12247
"query_1",TRUE,8.61789952992482e-25,4690,1299,459,0.353348729792148,0.0978678038379531,"GO:0007275","GO:BP","multicellular organism development",20972,2666
"query_1",TRUE,1.1406800691687e-24,4023,1299,409,0.314857582755966,0.101665423813075,"GO:0048731","GO:BP","system development",20972,12138
"query_1",TRUE,3.18366518830047e-24,6535,1299,585,0.450346420323326,0.0895179801071155,"GO:0032502","GO:BP","developmental process",20972,7117
"query_1",TRUE,9.95346827561618e-24,2597,1299,295,0.227097767513472,0.113592606854062,"GO:0007399","GO:BP","nervous system development",20972,2762
"query_1",TRUE,7.77351938741164e-22,7337,1299,629,0.484218629715165,0.0857298623415565,"GO:0032501","GO:BP","multicellular organismal process",20972,7116
"query_1",TRUE,1.65908058700378e-21,803,1299,130,0.100076982294072,0.161892901618929,"GO:0099536","GO:BP","synaptic signaling",20972,17869
"query_1",TRUE,1.65908058700378e-21,2699,1299,296,0.227867590454196,0.109670248240089,"GO:0009653","GO:BP","anatomical structure morphogenesis",20972,3414
"query_1",TRUE,3.69413970815855e-21,772,1299,126,0.0969976905311778,0.163212435233161,"GO:0099537","GO:BP","trans-synaptic signaling",20972,17870
"query_1",TRUE,1.29425853683988e-20,1167,1299,163,0.125481139337952,0.139674378748929,"GO:0048666","GO:BP","neuron development",20972,12075
"query_1",TRUE,1.29425853683988e-20,765,1299,124,0.0954580446497306,0.162091503267974,"GO:0098916","GO:BP","anterograde trans-synaptic signaling",20972,17709
"query_1",TRUE,1.29425853683988e-20,765,1299,124,0.0954580446497306,0.162091503267974,"GO:0007268","GO:BP","chemical synaptic transmission",20972,2660
"query_1",TRUE,4.81790502531945e-19,1523,1299,191,0.147036181678214,0.125410374261326,"GO:0048699","GO:BP","generation of neurons",20972,12106
"query_1",TRUE,4.82031418875519e-19,1444,1299,184,0.141647421093149,0.127423822714681,"GO:0030182","GO:BP","neuron differentiation",20972,6264
