FID IID PC2
QBC-092 QBC-092 0.0448916
QBC-256 QBC-256 -0.0078324
QBC-107 QBC-107 -0.0171582
QBC-171 QBC-171 0.0485504
QPRC-110 QPRC-110 0.121632
QBC-240 QBC-240 0.0873083
QPRC-019 QPRC-019 -0.133549
QBC-183 QBC-183 -0.0498143
QBC-086 QBC-086 0.11269
QPRC-039 QPRC-039 0.0459756
QBC-232 QBC-232 0.00268858
QPRC-104 QPRC-104 -0.00746468
QBC-119 QBC-119 -0.000932786
QBC-269 QBC-269 -0.105753
QBC-247 QBC-247 0.0659695
QBC-031 QBC-031 -0.00887718
QBC-268 QBC-268 -0.109153
QBC-173 QBC-173 -0.0184299
QBC-210 QBC-210 -0.0762627
QPRC-108 QPRC-108 0.113336
QPRC-115 QPRC-115 -0.0484005
QIGR-005 QIGR-005 3.2077e-05
QBC-264 QBC-264 -0.0113217
QBC-286 QBC-286 -0.10676
QPRC-012 QPRC-012 0.110881
QPRC-106 QPRC-106 -0.00753461
QBC-205 QBC-205 0.127884
QBC-046 QBC-046 -0.0297724
QBC-018 QBC-018 -0.00137624
QBC-170 QBC-170 0.0903138
QBC-174 QBC-174 -0.0234613
QBC-035 QBC-035 -0.047863
QBC-064 QBC-064 0.00947577
QBC-179 QBC-179 -0.0482958
QBC-280 QBC-280 -0.106879
QBC-166 QBC-166 0.0181238
QBC-267 QBC-267 -0.044782
QBC-015 QBC-015 0.108136
QPRC-101 QPRC-101 -0.0203336
QBC-242 QBC-242 0.21974
QBC-241 QBC-241 0.225754
QBC-038 QBC-038 0.116017
QBC-008 QBC-008 0.023748
QBC-229 QBC-229 -0.0291298
QPRC-047 QPRC-047 0.0401658
QBC-080 QBC-080 -0.0174609
QPRC-008 QPRC-008 0.101971
QBC-260 QBC-260 -0.00182758
QBC-298 QBC-298 -0.0573967
QBC-095 QBC-095 -0.0364584
QPRC-064 QPRC-064 -0.0889988
QBC-003 QBC-003 0.011636
QBC-294 QBC-294 -0.0552037
QBC-270 QBC-270 0.00370755
QBC-058 QBC-058 0.0802895
QBC-207 QBC-207 0.115376
QPRC-005 QPRC-005 -0.104643
QBC-243 QBC-243 0.0214784
QBC-049 QBC-049 -0.0174257
QIGR-026 QIGR-026 0.0307609
QBC-239 QBC-239 0.107819
QBC-200 QBC-200 -0.0358667
QBC-051 QBC-051 -0.105492
QBC-178 QBC-178 0.0634244
QBC-017 QBC-017 -0.0101335
QBC-139 QBC-139 0.0147492
QBC-062 QBC-062 -0.0310325
QPRC-059 QPRC-059 -0.115848
QBC-252 QBC-252 -0.0908896
QPRC-025 QPRC-025 0.118635
QBC-078 QBC-078 0.0543272
QBC-262 QBC-262 -0.0211955
QBC-204 QBC-204 -0.0250727
QPRC-010 QPRC-010 -0.101983
QPRC-021 QPRC-021 0.187137
QPRC-096 QPRC-096 -0.110207
QPRC-116 QPRC-116 -0.0715165
QBC-251 QBC-251 0.0339359
QBC-213 QBC-213 -0.0206022
QBC-303 QBC-303 -0.0463473
QBC-002 QBC-002 0.109759
QBC-263 QBC-263 -0.0270531
QPRC-060 QPRC-060 -0.0304021
QBC-023 QBC-023 -0.0409117
QBC-255 QBC-255 -0.131708
QPRC-102 QPRC-102 0.0739608
QPRC-003 QPRC-003 0.117686
QPRC-006 QPRC-006 -0.00796219
QPRC-041 QPRC-041 -0.120459
QBC-203 QBC-203 -0.0213334
QBC-223 QBC-223 -0.00805726
QBC-246 QBC-246 -0.0340087
QBC-284 QBC-284 0.103103
QBC-289 QBC-289 0.105296
QPRC-048 QPRC-048 -0.113337
QBC-272 QBC-272 -0.0178983
QBC-167 QBC-167 0.0932896
QBC-105 QBC-105 -0.0016904
QBC-141 QBC-141 -0.0920055
QBC-261 QBC-261 -0.0097548
QBC-299 QBC-299 -0.0139783
QBC-192 QBC-192 0.0474861
QBC-001 QBC-001 -0.00533135
QBC-287 QBC-287 -0.00653518
QBC-036 QBC-036 -0.0374404
QBC-254 QBC-254 -0.0170552
QBC-053 QBC-053 0.0170951
QPRC-009 QPRC-009 -0.139607
QBC-257 QBC-257 -0.0355992
QBC-212 QBC-212 0.00745847
QBC-165 QBC-165 0.0066551
QPRC-007 QPRC-007 -0.0351073
QBC-054_r1 QBC-054_r1 0.0379415
QBC-258 QBC-258 0.116197
QPRC-120 QPRC-120 -0.0994686
QBC-222 QBC-222 -0.0364877
QBC-233 QBC-233 0.13054
QBC-043 QBC-043 -0.128044
